"|","|__code","|__name","|__description","|__keywords__-","|__keywords","|__children__001","|__children__002","|__children__003","|__children__004","|__children__005","|__children__006","|__children__007","|__children__008","|__parent"
"","","","","","Seminaries / Seminary Schools","","","","","","","","",""
"","","","","","Social Work Schools","","","","","","","","",""
"","","","","","Teacher Education","","","","","","","","",""
"","","","","","Theological Schools","","","","","","","","",""
"","","","","","Theology Schools","","","","","","","","",""
"","","","","","Veterinary Medicine Schools","","","","","","","","",""
"","","","","","Veterinary Schools","","","","","","","","",""
"","","","","","Yeshiva","","","","","","","","",""
"5bb3ae27da3c38c71367bcd0","B60","Adult Education","Institutions outside the formal system of regular schools, colleges, universities and technical/trade schools that provide opportunities for adults to develop basic learning and communication skills, complete their high school education, expand their knowledge in a particular field or discipline or develop skills in a new area of interest.","","Adult Basic Education","","","","","","","","","5bc787d9da3c38f0620b0240"
"","","","","","Adult Education","","","","","","","","",""
"","","","","","Adult High School Diplomas","","","","","","","","",""
"","","","","","Adult Literacy Councils","","","","","","","","",""
"","","","","","Adult Literacy Education","","","","","","","","",""
"","","","","","Basic Writing Skills","","","","","","","","",""
"","","","","","Basic Reading Skills","","","","","","","","",""
"","","","","","Compensatory Learning","","","","","","","","",""
"","","","","","Continuing Education","","","","","","","","",""
"","","","","","Elderhostels","","","","","","","","",""
"","","","","","English as a Second Language","","","","","","","","",""
"","","","","","ESL Instruction","","","","","","","","",""
"","","","","","Fundamental Education (Adults)","","","","","","","","",""
"","","","","","GED Instruction","","","","","","","","",""
"","","","","","General Educational Development Instruction","","","","","","","","",""
"","","","","","High School Equivalency","","","","","","","","",""
"","","","","","Institutes for Learning in Retirement","","","","","","","","",""
"","","","","","Lifelong Learning","","","","","","","","",""
"","","","","","Lifetime Learning","","","","","","","","",""
"5bb3ae27da3c38c71367bcd1","B70","Libraries","Facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population.","","Academic Libraries","","","","","","","","","5bc787d9da3c38f0620b0240"
"","","","","","Academic Research Libraries","","","","","","","","",""
"","","","","","Archival Work","","","","","","","","",""
"","","","","","Archives","","","","","","","","",""
"","","","","","Archivists","","","","","","","","",""
"","","","","","Book and Paper Conservation","","","","","","","","",""
"","","","","","Book Collections","","","","","","","","",""
"","","","","","College Libraries","","","","","","","","",""
"","","","","","College Research Libraries","","","","","","","","",""
"","","","","","Corporate Libraries","","","","","","","","",""
"","","","","","Depository Libraries","","","","","","","","",""
"","","","","","Electronic Libraries","","","","","","","","",""
"","","","","","Information Centers","","","","","","","","",""
"","","","","","Law Libraries","","","","","","","","",""
"","","","","","Law School Libraries","","","","","","","","",""
"","","","","","Legal Libraries","","","","","","","","",""
"","","","","","Libraries","","","","","","","","",""
"","","","","","Library Operation/Programs","","","","","","","","",""
"","","","","","Media Centers","","","","","","","","",""
"","","","","","Medical Association Libraries","","","","","","","","",""
"","","","","","Medical Libraries","","","","","","","","",""
"","","","","","Medical Society Libraries","","","","","","","","",""
"","","","","","Military Base Libraries","","","","","","","","",""
"","","","","","Municipal Libraries","","","","","","","","",""
"","","","","","National Libraries","","","","","","","","",""
"","","","","","Online Vendor Services","","","","","","","","",""
"","","","","","Presidential Libraries","","","","","","","","",""
"","","","","","Public Libraries","","","","","","","","",""
"","","","","","Reference Services","","","","","","","","",""
"","","","","","Religious Libraries","","","","","","","","",""
"","","","","","Research Libraries","","","","","","","","",""
"","","","","","School Libraries","","","","","","","","",""
"","","","","","School Library Media Centers","","","","","","","","",""
"","","","","","Special Libraries","","","","","","","","",""
"","","","","","State Libraries","","","","","","","","",""
"","","","","","University Libraries","","","","","","","","",""
"","","","","","University Research Libraries","","","","","","","","",""
"","","","","","Virtual Libraries","","","","","","","","",""
"5bb3ae27da3c38c71367bcd2","B90","Educational Services","Organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life.  Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools.","","Achievement Testing","5bb3ae27da3c38c71367bcd3","5bb3ae27da3c38c71367bcd4","5bb3ae27da3c38c71367bcd5","","","","","","5bc787d9da3c38f0620b0240"
"","","","","","Advanced Placement Testing","","","","","","","","",""
"","","","","","Afterschool Programs","","","","","","","","",""
"","","","","","After-School Enrichment Programs","","","","","","","","",""
"","","","","","After-School Programs","","","","","","","","",""
"","","","","","After School Programs","","","","","","","","",""
"","","","","","American College Test","","","","","","","","",""
"","","","","","Aptitude Testing","","","","","","","","",""
"","","","","","Business in Schools Programs","","","","","","","","",""
"","","","","","Cooperative/Community Education","","","","","","","","",""
"","","","","","College Credit by Examination","","","","","","","","",""
"","","","","","College Entrance Examinations","","","","","","","","",""
"","","","","","College Placement Testing","","","","","","","","",""
"","","","","","College Preparatory Examinations","","","","","","","","",""
"","","","","","Continuation High Schools","","","","","","","","",""
"","","","","","Dental Admission Test","","","","","","","","",""
"","","","","","Distance Education","","","","","","","","",""
"","","","","","Distance Learning","","","","","","","","",""
"","","","","","Drop Out Prevention","","","","","","","","",""
"","","","","","Drop-Out Prevention/Retention Services","","","","","","","","",""
"","","","","","Dropout Prevention","","","","","","","","",""
"","","","","","Educational Testing","","","","","","","","",""
"","","","","","Entrance Examinations","","","","","","","","",""
"","","","","","Equivalency Tests","","","","","","","","",""
"","","","","","Extra-School Settings","","","","","","","","",""
"","","","","","Graduate Management Admission Testing","","","","","","","","",""
"","","","","","Graduate Program Examinations","","","","","","","","",""
"","","","","","Graduate Record Examinations","","","","","","","","",""
"","","","","","Grammar Hotlines","","","","","","","","",""
"","","","","","High School Competency Testing","","","","","","","","",""
"","","","","","Homework Assistance","","","","","","","","",""
"","","","","","Homework Help","","","","","","","","",""
"","","","","","Homework Hotlines","","","","","","","","",""
"","","","","","Intelligence Testing","","","","","","","","",""
"","","","","","Law School Admission Testing","","","","","","","","",""
"","","","","","Medical College Admission Testing","","","","","","","","",""
"","","","","","Optometry Admission Testing","","","","","","","","",""
"","","","","","Out-of-School Hours Programs","","","","","","","","",""
"","","","","","Preliminary Scholastic Achievement Testing","","","","","","","","",""
"","","","","","Private School Placement","","","","","","","","",""
"","","","","","Public, Private Partnerships for Education","","","","","","","","",""
"","","","","","Return to Education Support","","","","","","","","",""
"","","","","","Scholastic Aptitude Testing","","","","","","","","",""
"","","","","","Scholastic Assessment Testing","","","","","","","","",""
"","","","","","Special Education Assessment","","","","","","","","",""
"","","","","","Student Retention","","","","","","","","",""
"","","","","","Student Testing","","","","","","","","",""
"","","","","","Study Skills Assistance","","","","","","","","",""
"","","","","","Subject-Specific Tutoring","","","","","","","","",""
"","","","","","Truancy Counseling","","","","","","","","",""
"","","","","","Tutoring","","","","","","","","",""
"","","","","","Century Community Learning Centers Initiative Programs","","","","","","","","",""
"5bb3ae27da3c38c71367bcd3","B92","Remedial Reading & Encouragement","Organizations that provide diagnostic testing and/or individual or group instruction for people who are having reading difficulties. Instruction focuses on phonics, dictionary skills, vocabulary development, spelling and study skills, comprehension and memory skills.","","Children Literacy","","","","","","","","","5bb3ae27da3c38c71367bcd2"
"","","","","","Reading Encouragement","","","","","","","","",""
"","","","","","Reading is Fundamental","","","","","","","","",""
"","","","","","Remedial Reading","","","","","","","","",""
"","","","","","Remedial Spelling","","","","","","","","",""
"","","","","","RIF","","","","","","","","",""
"5bb3ae27da3c38c71367bcd4","B94","Parent & Teacher Groups","Organizations of parents, educators, students, and other citizens who are active in their schools and communities promoting the health, education, and welfare of children.","","Congress of Parents & Teachers","","","","","","","","","5bb3ae27da3c38c71367bcd2"
"","","","","","Congress of Parents and Teachers","","","","","","","","",""
"","","","","","Parent Teacher and Students","","","","","","","","",""
"","","","","","Parent Teacher Associations","","","","","","","","",""
"","","","","","Parent Teacher Organizations","","","","","","","","",""
"","","","","","PTA","","","","","","","","",""
"","","","","","PTO","","","","","","","","",""
"","","","","","PTSA","","","","","","","","",""
"","","","","","PTSO","","","","","","","","",""
"5bb3ae27da3c38c71367bcd5","B99","Education Not Elsewhere Classified","Organizations that clearly provide education services where the major purpose is unclear cannot be accurately assigned.","Faculty Groups","","","","","","","","","","5bb3ae27da3c38c71367bcd2"
"5bb3ae27da3c38c71367bcd6","C20","Pollution Abatement & Control","Organizations which seek to ensure that communities have a clean and healthful environment that is free from air and water pollution, pesticides and other hazardous substances, damaging radiation and excessive levels of noise.","","Acid Rain","","","","","","","","","5bc787d9da3c38f0620b0241"
"","","","","","Air Pollution","","","","","","","","",""
"","","","","","Asbestos Removal","","","","","","","","",""
"","","","","","Asbestos Testing","","","","","","","","",""
"","","","","","Atmospheric Contamination","","","","","","","","",""
"","","","","","Carbon Monoxide Testing","","","","","","","","",""
"","","","","","Clean Air","","","","","","","","",""
"","","","","","Climatic Change","","","","","","","","",""
"","","","","","Drinking Water Testing","","","","","","","","",""
"","","","","","Environmental Hazards Cleanup","","","","","","","","",""
"","","","","","Environmental Hazards Control","","","","","","","","",""
"","","","","","Environmental Pollution","","","","","","","","",""
"","","","","","Environmental Sanitation","","","","","","","","",""
"","","","","","Global Warming","","","","","","","","",""
"","","","","","Greenhouse Effect","","","","","","","","",""
"","","","","","Greenhouse Gases","","","","","","","","",""
"","","","","","Hazardous Materials Cleanup","","","","","","","","",""
"","","","","","Hazardous Materials Control","","","","","","","","",""
"","","","","","Hazardous Materials Monitoring","","","","","","","","",""
"","","","","","Hazardous Materials Transportation","","","","","","","","",""
"","","","","","Hazardous Wastes","","","","","","","","",""
"","","","","","Household Hazardous Wastes","","","","","","","","",""
"","","","","","Indoor Air Pollution","","","","","","","","",""
"","","","","","Industrial Hazardous Wastes","","","","","","","","",""
"","","","","","Landfills","","","","","","","","",""
"","","","","","Lead Paint","","","","","","","","",""
"","","","","","Lead Testing","","","","","","","","",""
"","","","","","Medical Waste Disposal, Noise Pollution","","","","","","","","",""
"","","","","","Nuclear Wastes","","","","","","","","",""
"","","","","","Oil Spill Cleanup","","","","","","","","",""
"","","","","","Pesticides","","","","","","","","",""
"","","","","","Pollution Abatement","","","","","","","","",""
"","","","","","Pollution Control","","","","","","","","",""
"","","","","","Poor Air Quality","","","","","","","","",""
"","","","","","Radiation Control","","","","","","","","",""
"","","","","","Radiation Testing","","","","","","","","",""
"","","","","","Radon Testing","","","","","","","","",""
"","","","","","Rising Sea Levels","","","","","","","","",""
"","","","","","Sanitation","","","","","","","","",""
"","","","","","Sewage","","","","","","","","",""
"","","","","","Sludge Sites","","","","","","","","",""
"","","","","","Smog","","","","","","","","",""
"","","","","","Soil Contaminant Testing","","","","","","","","",""
"","","","","","Soil Testing","","","","","","","","",""
"","","","","","Solid Waste Management","","","","","","","","",""
"","","","","","Tap Water Testing","","","","","","","","",""
"","","","","","Toxic Substances","","","","","","","","",""
"","","","","","Toxic Wastes","","","","","","","","",""
"","","","","","Waste Disposal","","","","","","","","",""
"","","","","","Waste Management","","","","","","","","",""
"","","","","","Waste Spills","","","","","","","","",""
"","","","","","Waste Transport","","","","","","","","",""
"","","","","","Water Pollution","","","","","","","","",""
"","","","","","Water Pollution Control","","","","","","","","",""
"5bb3ae27da3c38c71367bcd7","C60","Environmental Education","Organizations such as nature centers that provide informal classes which acquaint participants with particular aspects of their environment and increase their understanding of and appreciation for ecological balance.","","Bush Survival","","","","","","","","","5bc787d9da3c38f0620b0241"
"","","","","","Ecotourism","","","","","","","","",""
"","","","","","Environmental Education","","","","","","","","",""
"","","","","","Environmental Interpretive Centers","","","","","","","","",""
"","","","","","Nature Centers","","","","","","","","",""
"","","","","","Nature Walks","","","","","","","","",""
"","","","","","Orienteering","","","","","","","","",""
"","","","","","Outdoor Education","","","","","","","","",""
"","","","","","Outdoor Survival","","","","","","","","",""
"","","","","","Outdoor Survival Skills","","","","","","","","",""
"","","","","","Outward Bound","","","","","","","","",""
"","","","","","Wilderness Survival Skills","","","","","","","","",""
"5bb3ae27da3c38c71367bcd8","D20","Animal Protection & Welfare","Organizations such as animal shelters that provide for the humane care, protection and control of animals and which investigate instances of cruelty to animals.","","Adopt-A-Burro","","","","","","","","","5bc787d9da3c38f0620b0242"
"","","","","","Adopt-A-Greyhound","","","","","","","","",""
"","","","","","Adopt-A-Horse","","","","","","","","",""
"","","","","","Adopt-A-Race Horse","","","","","","","","",""
"","","","","","Alligator Control","","","","","","","","",""
"","","","","","Animal Adoption","","","","","","","","",""
"","","","","","Animal Control","","","","","","","","",""
"","","","","","Animal Lost & Found","","","","","","","","",""
"","","","","","Animal Population Control","","","","","","","","",""
"","","","","","Animal Protection ","","","","","","","","",""
"","","","","","Animal Rescue","","","","","","","","",""
"","","","","","Animal Shelters","","","","","","","","",""
"","","","","","Animal Welfare","","","","","","","","",""
"","","","","","ASPCA","","","","","","","","",""
"","","","","","Coyote Control","","","","","","","","",""
"","","","","","Cruelty to Animals","","","","","","","","",""
"","","","","","Deer Control","","","","","","","","",""
"","","","","","Domestic Animal Protection","","","","","","","","",""
"","","","","","Domestic Animal Welfare","","","","","","","","",""
"","","","","","Equine Rescue","","","","","","","","",""
"","","","","","Farm Animal Protection","","","","","","","","",""
"","","","","","Farm Animal Welfare","","","","","","","","",""
"","","","","","Farm Animals Sanctuaries","","","","","","","","",""
"","","","","","Foster Care for Animals","","","","","","","","",""
"","","","","","Found Pets","","","","","","","","",""
"","","","","","Greyhound Adoption","","","","","","","","",""
"","","","","","Greyhound Rescue","","","","","","","","",""
"","","","","","Homeless Animals","","","","","","","","",""
"","","","","","Horse Sanctuaries","","","","","","","","",""
"","","","","","Humane Societies","","","","","","","","",""
"","","","","","Lost Animals","","","","","","","","",""
"","","","","","Lost Pets","","","","","","","","",""
"","","","","","Missing Pets","","","","","","","","",""
"","","","","","Pet Adoption","","","","","","","","",""
"","","","","","Pet Cemeteries","","","","","","","","",""
"","","","","","Pet Reunification","","","","","","","","",""
"","","","","","Predator Control","","","","","","","","",""
"","","","","","Prevention of Cruelty to Animals","","","","","","","","",""
"","","","","","Rabbit Rescue","","","","","","","","",""
"","","","","","Snake Control","","","","","","","","",""
"","","","","","Spaying & Neutering","","","","","","","","",""
"","","","","","SPCA","","","","","","","","",""
"","","","","","Stray Animal Assistance","","","","","","","","",""
"","","","","","Unwanted Animals","","","","","","","","",""
"","","","","","Unwanted Pets","","","","","","","","",""
"5bb3ae27da3c38c71367bcd9","E20","Hospitals","Twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. ","","","5bb3ae27da3c38c71367bcda","5bb3ae27da3c38c71367bcdb","5bb3ae27da3c38c71367bcdc","","","","","","5bc787d9da3c38f0620b0243"
"5bb3ae27da3c38c71367bcda","E21","Community Health Systems","Multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital.","","Community-Based Health Services","","","","","","","","","5bb3ae27da3c38c71367bcd9"
"","","","","","Health Care Systems","","","","","","","","",""
"","","","","","Hospital Management Corporations","","","","","","","","",""
"","","","","","Multihospital Health Care Systems","","","","","","","","",""
"","","","","","Multihospital Systems","","","","","","","","",""
"5bb3ae27da3c38c71367bcdb","E22","General Hospitals","Health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention.","","Acute Care Critical Access Hospitals","","","","","","","","","5bb3ae27da3c38c71367bcd9"
"","","","","","Acute Care Hospitals","","","","","","","","",""
"","","","","","Acute Care Medical Faciltities","","","","","","","","",""
"","","","","","Acute Care Medical Centers","","","","","","","","",""
"","","","","","Cardiac Intensive Care","","","","","","","","",""
"","","","","","Coronary Intensive Care","","","","","","","","",""
"","","","","","Emergency Rooms","","","","","","","","",""
"","","","","","Emergicenters","","","","","","","","",""
"","","","","","General Acute Care Hospitals","","","","","","","","",""
"","","","","","General Hospitals","","","","","","","","",""
"","","","","","General Intensive Care","","","","","","","","",""
"","","","","","High Risk Infant Unit Care","","","","","","","","",""
"","","","","","Hospital Emergency Care","","","","","","","","",""
"","","","","","Hospital-Based Emergency Care","","","","","","","","",""
"","","","","","ICUs","","","","","","","","",""
"","","","","","Inpatient Hospital Care","","","","","","","","",""
"","","","","","Intensive Care","","","","","","","","",""
"","","","","","Medical Centers","","","","","","","","",""
"","","","","","Military Hospitals","","","","","","","","",""
"","","","","","Neonatal Intensive Care","","","","","","","","",""
"","","","","","Neurological Intensive Care","","","","","","","","",""
"","","","","","Osteopathic hospitals","","","","","","","","",""
"","","","","","Pediatric Intensive Care","","","","","","","","",""
"","","","","","Premature Nurseries","","","","","","","","",""
"","","","","","Respiratory Intensive Care","","","","","","","","",""
"","","","","","State Hospitals","","","","","","","","",""
"","","","","","Subacute Care Hospitals","","","","","","","","",""
"","","","","","Surgical Intensive Care","","","","","","","","",""
"","","","","","Trauma Centers","","","","","","","","",""
"","","","","","Veterans Hospitals ","","","","","","","","",""
"5bb3ae27da3c38c71367bcdc","E24","Specialty Hospitals","Health care facilities like orthopedic hospitals or cancer hospitals that provide diagnostic and treatment services on an inpatient basis for people who have specified medical conditions.","","Cancer Hospitals","","","","","","","","","5bb3ae27da3c38c71367bcd9"
"","","","","","Childrens Hospitals","","","","","","","","",""
"","","","","","Extended Care Hospitals","","","","","","","","",""
"","","","","","Eye Hospitals","","","","","","","","",""
"","","","","","Maternity Hospitals","","","","","","","","",""
"","","","","","Orthopedic Hospitals","","","","","","","","",""
"","","","","","Rehabilitation Hospitals","","","","","","","","",""
"","","","","","Shriners Hospitals","","","","","","","","",""
"","","","","","Specialty Hospitals","","","","","","","","",""
"","","","","","Womens Hospitals","","","","","","","","",""
"5bb3ae28da3c38c71367bcdd","E30","Ambulatory & Primary Health Care","Health centers, clinics, and other facilities that provide walk-in, walk-out diagnostic and treatment services for people whose care does not require confinement or a hospital stay. ","","Acupuncture","5bb3ae28da3c38c71367bcde","5bb3ae28da3c38c71367bcdf","5bb3ae32da3c38c71367bda0","","","","","","5bc787d9da3c38f0620b0243"
"","","","","","Alternative Health Clinics","","","","","","","","",""
"","","","","","Ambulatory Surgical Centers","","","","","","","","",""
"","","","","","Ambulatory Surgery","","","","","","","","",""
"","","","","","Biofeedback","","","","","","","","",""
"","","","","","Burn Centers","","","","","","","","",""
"","","","","","Burn Institutes","","","","","","","","",""
"","","","","","Chiropractic","","","","","","","","",""
"","","","","","Day Surgery","","","","","","","","",""
"","","","","","Dental Clinics","","","","","","","","",""
"","","","","","Dental Care","","","","","","","","",""
"","","","","","Diagnostic Facilities","","","","","","","","",""
"","","","","","Diagnostic Imaging","","","","","","","","",""
"","","","","","Dialysis Centers","","","","","","","","",""
"","","","","","Eye Screening Clinics","","","","","","","","",""
"","","","","","Foot Clinics","","","","","","","","",""
"","","","","","Herbal Medicine","","","","","","","","",""
"","","","","","Homeopathic Medicine","","","","","","","","",""
